CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
52	191	6	0.9575	-28.030
155	757	6	0.92	24.000
155	315	6	0.9165	-6.045
166	817	6	0.9195	14.016
450	817	6	0.9327	-28.031
72	315	6	0.9387	-2.014
343	483	6	0.9007	26.016
52	757	6	0.9228	-24.001
394	424	6	0.9096	84.094
664	869	7	0.8697	-412.239
387	1033	7	0.8059	46.989
48	257	7	0.9819	-26.016
664	820	7	0.8436	-11.900
479	594	7	0.822	90.047
176	257	7	0.9833	21.984
176	826	7	0.963	33.985
180	567	7	0.9667	-28.031
268	1034	7	0.8089	-23.997
664	774	7	0.8002	-35.905
390	1033	7	0.8785	-82.015
480	820	7	0.8813	495.333
774	787	7	0.8177	-487.453
461	563	7	0.9348	1.980
170	774	7	0.788	-120.001
276	693	7	0.8954	42.011
727	1033	7	0.8819	-5.041
356	363	7	0.9782	495.330
673	679	7	0.9186	23.996
820	869	7	0.8199	-400.340
869	943	7	0.887	-112.124
395	1037	7	0.8734	-136.000
480	774	7	0.8186	471.328
756	904	7	0.8741	192.167
257	563	7	0.9391	9.984
673	784	7	0.8238	-66.051
354	563	7	0.9401	12.000
276	904	7	0.9151	234.215
257	597	7	0.9511	8.005
363	480	7	0.9112	-96.000
387	1037	7	0.8297	47.998
48	176	7	0.9794	-48.000
176	554	7	0.9665	17.954
268	326	7	0.7873	4.031
48	461	7	0.9717	-18.011
479	673	7	0.9202	42.049
165	230	7	0.8818	-28.031
221	679	7	0.9859	18.046
221	479	7	0.8544	-48.000
230	567	7	0.9797	-2.016
554	563	7	0.9409	14.015
730	1037	7	0.8109	-59.022
879	1037	7	0.8672	91.965
554	826	7	0.9687	16.031
597	826	7	0.9533	3.995
387	849	7	0.8295	4.032
167	518	7	0.8166	471.332
176	597	7	0.9433	29.989
276	634	7	0.9154	26.016
354	597	7	0.953	10.021
170	363	7	0.9743	-495.328
356	480	7	0.9159	399.330
479	569	7	0.8225	-487.293
257	826	7	0.9707	12.000
634	922	7	0.9604	2.017
356	787	7	0.9253	383.205
569	1017	7	0.7864	481.376
395	730	7	0.8172	-76.978
518	820	7	0.8107	-495.329
170	518	7	0.7955	399.333
390	727	7	0.8546	-76.973
167	170	7	0.8626	71.999
727	730	7	0.8417	54.990
589	922	7	0.9317	48.000
387	1034	7	0.9121	-50.016
390	730	7	0.8446	-21.983
389	1035	7	0.9253	-158.048
167	869	7	0.8544	-424.336
257	461	7	0.9674	8.005
48	756	7	0.9272	-479.300
176	563	7	0.936	31.969
257	354	7	0.9846	-2.016
268	403	7	0.8093	52.031
480	787	7	0.9225	-16.126
879	1033	7	0.8669	90.957
48	563	7	0.9348	-16.031
479	589	7	0.956	24.001
569	820	7	0.8577	-45.983
1034	1037	7	0.8066	98.014
787	943	7	0.9553	-1.005
363	943	7	0.9171	-113.130
356	943	7	0.9217	382.200
170	820	7	0.8249	-95.995
634	693	7	0.889	15.995
395	569	7	0.8187	-168.825
730	879	7	0.804	-150.988
679	922	7	0.8835	5.955
170	664	7	0.8686	-84.096
849	1001	7	0.8131	211.070
167	774	7	0.7966	-48.002
165	180	7	0.8952	-2.016
276	589	7	0.8103	-19.967
510	569	7	0.8008	-87.967
727	879	7	0.8743	-95.998
170	687	7	0.8794	-78.044
221	594	7	0.9793	42.047
369	725	7	0.9546	0.001
363	664	7	0.894	411.233
268	387	7	0.8525	26.019
276	479	7	0.8238	-43.968
48	826	7	0.9695	-14.015
693	756	7	0.9737	0.037
467	634	7	0.8999	-68.063
180	468	7	0.858	-26.015
1033	1037	7	0.977	1.009
