CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
461	733	18	0.8609	-194.043
888	1051	18	0.7091	-19.017
258	473	18	0.8436	-48.000
461	548	18	0.9411	18.010
814	928	18	0.703	-103.222
355	926	18	0.7967	-248.251
570	733	18	0.9166	-159.006
306	928	18	0.7945	-222.235
523	858	18	0.7753	-229.080
926	928	18	0.8172	26.016
925	928	18	0.8238	26.016
464	566	18	0.7475	-23.999
308	733	18	0.8951	-176.032
473	1066	18	0.796	26.016
304	523	18	0.7586	12.073
566	925	18	0.8255	2.014
548	570	18	0.8469	-53.048
814	925	18	0.7362	-129.238
306	929	18	0.7906	-222.235
258	324	18	0.8857	-2.016
569	925	18	0.7175	2.016
491	694	18	0.732	-121.110
569	928	18	0.7226	28.031
574	1051	18	0.7136	-17.002
308	570	18	0.8997	-17.027
566	929	18	0.8839	28.030
258	306	18	0.8355	-24.000
785	814	18	0.9042	-18.012
713	1066	18	0.7481	-48.000
925	926	18	0.9054	0.000
926	929	18	0.7943	26.016
258	464	18	0.7982	-250.266
308	889	18	0.7327	-193.059
523	829	18	0.7301	100.053
694	976	18	0.7004	-58.953
566	569	18	0.7752	-0.001
808	898	18	0.7619	-2.016
306	473	18	0.8206	-24.000
275	314	18	0.8184	28.031
690	707	18	0.8123	24.000
258	355	18	0.8063	-24.000
306	566	18	0.8399	-250.265
814	926	18	0.7115	-129.238
491	523	18	0.7176	-88.053
314	324	18	0.7399	-26.016
314	713	18	0.8077	2.016
491	976	18	0.7184	-180.063
304	829	18	0.8383	112.126
324	473	18	0.728	-45.984
928	929	18	0.89	0.000
925	929	18	0.8479	26.016
324	713	18	0.8589	28.031
355	1066	18	0.8168	2.015
548	733	18	0.8455	-212.053
690	694	18	0.747	-24.000
491	574	18	0.7342	-299.201
473	738	18	0.7117	-2.016
814	976	18	0.7214	172.016
486	718	20	0.9271	18.010
562	662	21	0.7324	1.958
454	624	21	0.8813	-1.007
624	662	21	0.8453	-2.039
447	662	21	0.9303	-0.037
447	454	21	0.7349	3.009
454	662	21	0.7364	-3.046
